,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,group
2409,174,185.0,8,0,0,9.0,10.0,8.0,8.0,6.0,16.98,15.09,16.98,16.98,18.87,2
2410,174,186.0,8,0,0,9.0,10.0,8.0,8.0,6.0,19.44,19.44,22.22,16.67,11.11,2
2417,174,193.0,8,0,0,9.0,10.0,8.0,8.0,6.0,20.93,16.28,23.26,16.28,11.63,2
2423,175,189.0,8,0,0,7.0,10.0,8.0,8.0,9.0,16.98,16.98,16.98,16.98,16.98,2
2429,176,185.0,8,0,0,6.0,9.0,8.0,7.0,6.0,16.98,15.09,16.98,16.98,18.87,2
2430,176,186.0,8,0,1,6.0,9.0,8.0,7.0,6.0,19.44,19.44,22.22,16.67,11.11,2
2437,176,193.0,8,0,0,6.0,9.0,8.0,7.0,6.0,20.93,16.28,23.26,16.28,11.63,2
2438,177,184.0,8,0,0,9.0,9.0,9.0,8.0,9.0,16.67,16.67,16.67,16.67,16.67,2
2441,177,187.0,8,0,0,9.0,9.0,9.0,8.0,9.0,16.98,16.98,18.87,16.98,13.21,2
2442,177,188.0,8,0,0,9.0,9.0,9.0,8.0,9.0,15.56,11.11,22.22,15.56,20.0,2
2444,177,190.0,8,0,0,9.0,9.0,9.0,8.0,9.0,15.56,20.0,20.0,20.0,13.33,2
2445,177,191.0,8,0,0,9.0,9.0,9.0,8.0,9.0,20.45,20.45,20.45,18.18,18.18,2
2446,177,192.0,8,0,0,9.0,9.0,9.0,8.0,9.0,19.57,19.57,15.22,17.39,15.22,2
2449,178,185.0,8,0,0,9.0,9.0,8.0,7.0,7.0,16.98,15.09,16.98,16.98,18.87,2
2450,178,186.0,8,0,1,9.0,9.0,8.0,7.0,7.0,19.44,19.44,22.22,16.67,11.11,2
2457,178,193.0,8,0,0,9.0,9.0,8.0,7.0,7.0,20.93,16.28,23.26,16.28,11.63,2
2469,180,185.0,8,0,0,9.0,9.0,9.0,10.0,9.0,16.98,15.09,16.98,16.98,18.87,2
2470,180,186.0,8,0,0,9.0,9.0,9.0,10.0,9.0,19.44,19.44,22.22,16.67,11.11,2
2477,180,193.0,8,0,0,9.0,9.0,9.0,10.0,9.0,20.93,16.28,23.26,16.28,11.63,2
2498,183,184.0,8,0,1,9.0,7.0,9.0,9.0,7.0,16.67,16.67,16.67,16.67,16.67,2
2501,183,187.0,8,0,0,9.0,7.0,9.0,9.0,7.0,16.98,16.98,18.87,16.98,13.21,2
2502,183,188.0,8,0,0,9.0,7.0,9.0,9.0,7.0,15.56,11.11,22.22,15.56,20.0,2
2504,183,190.0,8,0,0,9.0,7.0,9.0,9.0,7.0,15.56,20.0,20.0,20.0,13.33,2
2505,183,191.0,8,0,0,9.0,7.0,9.0,9.0,7.0,20.45,20.45,20.45,18.18,18.18,2
2506,183,192.0,8,0,0,9.0,7.0,9.0,9.0,7.0,19.57,19.57,15.22,17.39,15.22,2
2511,184,177.0,8,1,0,6.0,10.0,9.0,7.0,5.0,15.09,16.98,16.98,16.98,18.87,2
2517,184,183.0,8,1,1,6.0,10.0,9.0,7.0,5.0,20.0,22.5,17.5,22.5,10.0,2
2518,185,174.0,8,1,0,10.0,10.0,8.0,7.0,8.0,9.52,23.81,16.67,16.67,16.67,2
2520,185,176.0,8,1,0,10.0,10.0,8.0,7.0,8.0,13.04,21.74,19.57,17.39,15.22,2
2522,185,178.0,8,1,0,10.0,10.0,8.0,7.0,8.0,15.22,17.39,17.39,17.39,15.22,2
2524,185,180.0,8,1,0,10.0,10.0,8.0,7.0,8.0,15.38,17.31,17.31,19.23,13.46,2
2528,186,174.0,8,1,0,4.0,8.0,7.0,4.0,6.0,9.52,23.81,16.67,16.67,16.67,2
2530,186,176.0,8,1,1,4.0,8.0,7.0,4.0,6.0,13.04,21.74,19.57,17.39,15.22,2
2532,186,178.0,8,1,1,4.0,8.0,7.0,4.0,6.0,15.22,17.39,17.39,17.39,15.22,2
2534,186,180.0,8,1,0,4.0,8.0,7.0,4.0,6.0,15.38,17.31,17.31,19.23,13.46,2
2541,187,177.0,8,1,0,8.0,9.0,10.0,7.0,7.0,15.09,16.98,16.98,16.98,18.87,2
2547,187,183.0,8,1,0,8.0,9.0,10.0,7.0,7.0,20.0,22.5,17.5,22.5,10.0,2
2551,188,177.0,8,1,0,7.0,5.0,10.0,7.0,10.0,15.09,16.98,16.98,16.98,18.87,2
2557,188,183.0,8,1,0,7.0,5.0,10.0,7.0,10.0,20.0,22.5,17.5,22.5,10.0,2
2559,189,175.0,8,1,0,8.0,8.0,8.0,8.0,9.0,12.24,20.41,16.33,14.29,20.41,2
2571,190,177.0,8,1,0,7.0,7.0,7.0,7.0,7.0,15.09,16.98,16.98,16.98,18.87,2
2577,190,183.0,8,1,0,7.0,7.0,7.0,7.0,7.0,20.0,22.5,17.5,22.5,10.0,2
2581,191,177.0,8,1,0,7.0,7.0,7.0,6.0,8.0,15.09,16.98,16.98,16.98,18.87,2
2587,191,183.0,8,1,0,7.0,7.0,7.0,6.0,8.0,20.0,22.5,17.5,22.5,10.0,2
2591,192,177.0,8,1,0,7.0,10.0,9.0,9.0,10.0,15.09,16.98,16.98,16.98,18.87,2
2597,192,183.0,8,1,0,7.0,10.0,9.0,9.0,10.0,20.0,22.5,17.5,22.5,10.0,2
2598,193,174.0,8,1,0,7.0,9.0,10.0,5.0,7.0,9.52,23.81,16.67,16.67,16.67,2
2600,193,176.0,8,1,0,7.0,9.0,10.0,5.0,7.0,13.04,21.74,19.57,17.39,15.22,2
2602,193,178.0,8,1,0,7.0,9.0,10.0,5.0,7.0,15.22,17.39,17.39,17.39,15.22,2
2604,193,180.0,8,1,0,7.0,9.0,10.0,5.0,7.0,15.38,17.31,17.31,19.23,13.46,2
2608,194,214.0,9,0,0,9.0,10.0,10.0,8.0,10.0,17.02,21.28,17.02,21.28,14.89,2
2610,194,216.0,9,0,0,9.0,10.0,10.0,8.0,10.0,7.5,17.5,20.0,22.5,12.5,2
2611,194,217.0,9,0,0,9.0,10.0,10.0,8.0,10.0,21.28,17.02,21.28,12.77,6.38,2
2612,194,218.0,9,0,0,9.0,10.0,10.0,8.0,10.0,20.51,5.13,23.08,12.82,17.95,2
2613,194,219.0,9,0,0,9.0,10.0,10.0,8.0,10.0,16.28,16.28,18.6,16.28,16.28,2
2616,194,222.0,9,0,0,9.0,10.0,10.0,8.0,10.0,9.52,19.05,23.81,19.05,4.76,2
2617,194,223.0,9,0,0,9.0,10.0,10.0,8.0,10.0,17.39,17.39,19.57,19.57,10.87,2
2618,194,224.0,9,0,0,9.0,10.0,10.0,8.0,10.0,17.24,17.24,17.24,17.24,13.79,2
2620,194,226.0,9,0,0,9.0,10.0,10.0,8.0,10.0,25.64,17.95,15.38,20.51,10.26,2
2621,194,227.0,9,0,0,9.0,10.0,10.0,8.0,10.0,20.0,16.0,18.0,16.0,16.0,2
2623,194,229.0,9,0,0,9.0,10.0,10.0,8.0,10.0,21.43,16.67,21.43,16.67,11.9,2
