iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha,tmp2_attr,tmp2_sinc,tmp2_intel,tmp2_fun,tmp2_amb,tmp2_shar,tmp2_like,condtn,round,int_corr,age_o,age,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1
174,0.0,0.0,9.0,10.0,8.0,8.0,6.0,9.52,23.81,16.67,16.67,16.67,16.67,4.333333333333333,7.0,6.666666666666667,6.0,5.333333333333333,6.666666666666667,6.333333333333333,1.0,10.0,0.39999999999999997,29.0,24.666666666666668,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,12.61,8.333333333333334,6.333333333333333,7.0,8.333333333333334,7.0,5.0,19.49,14.833333333333334,16.253333333333334,20.973333333333333,17.463333333333335,10.99,7.0,8.0,8.0,8.0,8.0
175,0.0,0.0,7.0,10.0,8.0,8.0,9.0,12.24,20.41,16.33,14.29,20.41,16.33,6.0,6.0,5.0,5.0,4.0,5.0,6.0,1.0,10.0,0.1,23.0,27.0,16.98,16.98,16.98,16.98,16.98,15.09,9.0,7.0,7.0,8.0,7.0,7.0,16.98,16.98,16.98,16.98,16.98,15.09,7.0,8.0,8.0,8.0,8.0
176,0.0,0.3333333333333333,6.0,9.0,8.0,7.0,6.0,13.04,21.74,19.57,17.39,15.22,13.04,5.666666666666667,8.0,8.0,4.333333333333333,7.666666666666667,6.666666666666667,4.666666666666667,1.0,10.0,0.35333333333333333,28.0,24.666666666666668,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,12.61,8.333333333333334,6.333333333333333,7.0,8.333333333333334,7.0,5.0,19.49,14.833333333333334,16.253333333333334,20.973333333333333,17.463333333333335,10.99,7.0,8.0,8.0,8.0,8.0
177,0.0,0.0,9.0,9.0,9.0,8.0,9.0,15.089999999999998,16.98,16.98,16.98,18.87,15.089999999999998,5.166666666666667,7.166666666666667,6.666666666666667,7.166666666666667,7.0,6.166666666666667,5.166666666666667,1.0,10.0,0.043333333333333335,22.0,26.333333333333332,17.465,17.463333333333335,18.905,17.463333333333335,16.101666666666667,12.604999999999999,8.833333333333334,6.833333333333333,6.666666666666667,7.833333333333333,5.5,6.666666666666667,13.651666666666666,17.905,17.023333333333333,18.275000000000002,17.988333333333333,15.161666666666667,7.0,8.0,8.0,8.0,8.0
178,0.0,0.3333333333333333,9.0,9.0,8.0,7.0,7.0,15.22,17.39,17.39,17.39,15.22,17.39,3.6666666666666665,7.333333333333333,7.333333333333333,4.666666666666667,8.333333333333334,7.666666666666667,6.0,1.0,10.0,0.39333333333333337,35.0,24.666666666666668,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,12.61,8.333333333333334,6.333333333333333,7.0,8.333333333333334,7.0,5.0,19.49,14.833333333333334,16.253333333333334,20.973333333333333,17.463333333333335,10.99,7.0,8.0,8.0,8.0,8.0
180,0.0,0.0,9.0,9.0,9.0,10.0,9.0,15.38,17.31,17.31,19.23,13.46,17.31,7.666666666666667,8.333333333333334,7.666666666666667,7.0,7.333333333333333,6.333333333333333,7.666666666666667,1.0,10.0,0.21666666666666667,24.0,24.666666666666668,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,12.61,8.333333333333334,6.333333333333333,7.0,8.333333333333334,7.0,5.0,19.49,14.833333333333334,16.253333333333334,20.973333333333333,17.463333333333335,10.99,7.0,8.0,8.0,8.0,8.0
183,0.0,0.16666666666666666,9.0,7.0,9.0,9.0,7.0,20.0,22.5,17.5,22.5,10.0,7.5,6.0,6.5,7.166666666666667,5.833333333333333,6.166666666666667,4.833333333333333,5.166666666666667,1.0,10.0,0.24166666666666667,24.0,26.333333333333332,17.465,17.463333333333335,18.905,17.463333333333335,16.101666666666667,12.604999999999999,8.833333333333334,6.833333333333333,6.666666666666667,7.833333333333333,5.5,6.666666666666667,13.651666666666666,17.905,17.023333333333333,18.275000000000002,17.988333333333333,15.161666666666667,7.0,8.0,8.0,8.0,8.0
184,1.0,0.5,6.0,10.0,9.0,7.0,5.0,16.67,16.67,16.67,16.67,16.67,16.67,6.5,8.0,8.0,6.0,6.0,7.0,6.5,1.0,10.0,0.17500000000000002,34.0,23.0,17.545,19.740000000000002,17.240000000000002,19.740000000000002,14.435,11.295,8.0,8.0,7.0,7.0,6.5,6.0,24.34,18.025,14.08,20.59,14.145,8.815,7.0,8.0,8.0,8.0,8.0
185,1.0,0.0,10.0,10.0,8.0,7.0,8.0,16.98,15.09,16.98,16.98,18.87,15.09,5.5,5.25,5.5,5.0,5.5,4.75,4.75,1.0,10.0,0.3,25.0,29.0,13.29,20.0625,17.735,17.67,15.142500000000002,16.1025,8.25,7.5,6.75,8.0,5.5,7.25,19.2875,16.445,13.572500000000002,19.925,13.6275,17.137500000000003,7.0,8.0,8.0,8.0,8.0
186,1.0,0.5,4.0,8.0,7.0,4.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11,5.75,6.75,6.75,5.5,5.75,6.0,6.5,1.0,10.0,0.425,24.0,29.0,13.29,20.0625,17.735,17.67,15.142500000000002,16.1025,8.25,7.5,6.75,8.0,5.5,7.25,19.2875,16.445,13.572500000000002,19.925,13.6275,17.137500000000003,7.0,8.0,8.0,8.0,8.0
