iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha,tmp2_attr,tmp2_sinc,tmp2_intel,tmp2_fun,tmp2_amb,tmp2_shar,tmp2_like
1,0.0,1.0,6.0,8.0,8.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,0.0,0.25,7.0,5.0,8.0,10.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0,7.125,6.375,7.375,6.875,7.25,5.875,7.0
3,0.0,0.0,8.0,9.0,9.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,6.125,6.375,6.875,5.75,6.75,5.5,5.5
4,0.0,0.25,7.0,8.0,7.0,9.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,6.5,6.625,7.25,7.125,7.375,6.625,6.75
5,0.0,0.25,6.0,3.0,10.0,6.0,8.0,20.0,5.0,25.0,25.0,10.0,15.0,4.75,7.25,7.125,6.875,7.375,5.875,5.75
6,0.0,0.0,5.0,7.0,9.0,8.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7,0.0,0.0,6.0,6.0,7.0,5.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8,0.0,0.75,7.0,4.0,8.0,8.0,8.0,9.09,18.18,27.27,18.18,18.18,9.09,7.875,7.375,7.875,7.5,7.125,6.375,7.25
10,0.0,0.5,6.0,8.0,6.0,10.0,9.0,15.0,15.0,15.0,40.0,10.0,5.0,5.857142857142857,6.142857142857143,5.428571428571429,5.714285714285714,5.285714285714286,5.0,5.428571428571429
11,1.0,0.0,8.0,9.0,8.0,7.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0,5.2,8.4,8.2,4.4,6.2,5.2,6.2
12,1.0,0.16666666666666666,9.0,9.0,10.0,9.0,9.0,60.0,0.0,0.0,40.0,0.0,0.0,8.2,6.4,7.2,7.6,7.2,6.6,7.4
13,1.0,0.3333333333333333,4.0,7.0,8.0,8.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.666666666666666,6.333333333333333,5.333333333333333,5.666666666666667,6.666666666666667
14,1.0,0.6666666666666666,9.0,9.0,9.0,9.0,9.0,30.0,5.0,15.0,40.0,5.0,5.0,8.0,7.4,6.6,7.2,6.8,7.6,7.2
16,1.0,0.2,6.0,6.0,8.0,8.0,6.0,50.0,0.0,30.0,10.0,0.0,10.0,6.4,8.2,8.2,4.8,7.2,5.6,6.2
17,1.0,0.0,7.0,7.0,8.0,6.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,6.8,7.4,9.0,6.0,7.2,7.2,6.6
18,1.0,0.16666666666666666,6.0,8.0,8.0,6.0,9.0,33.33,11.11,11.11,11.11,11.11,22.22,5.4,7.4,7.8,5.6,7.8,6.0,6.0
19,1.0,0.8333333333333334,10.0,6.0,10.0,10.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,8.166666666666666,7.5,8.0,9.0,7.333333333333333,8.166666666666666,7.833333333333333
20,1.0,0.16666666666666666,7.0,7.0,10.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,7.833333333333333,7.333333333333333,8.333333333333334,8.333333333333334,8.166666666666666,7.333333333333333,8.833333333333334
21,0.0,0.0,5.0,9.0,9.0,7.0,10.0,12.0,18.0,20.0,16.0,16.0,18.0,4.0,9.0,9.0,5.0,6.333333333333333,4.333333333333333,5.333333333333333
22,0.0,0.0,7.0,8.0,8.0,7.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,5.0,8.0,9.0,7.0,10.0,8.0,7.0
23,0.0,0.0,5.0,8.0,7.0,6.0,8.0,10.0,20.0,40.0,10.0,10.0,10.0,6.0,6.0,5.5,6.5,5.5,3.0,3.5
24,0.0,0.0,7.0,9.0,8.0,9.0,8.0,10.0,20.0,20.0,15.0,20.0,15.0,6.555555555555555,6.555555555555555,7.333333333333333,6.222222222222222,6.555555555555555,5.666666666666667,6.222222222222222
25,0.0,0.0,7.0,9.0,8.0,7.0,6.0,20.0,20.0,15.0,15.0,15.0,15.0,7.666666666666667,6.666666666666667,6.777777777777778,7.0,5.666666666666667,4.555555555555555,6.722222222222222
26,0.0,0.0,7.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,15.0,15.0,10.0,7.555555555555555,6.666666666666667,7.222222222222222,7.222222222222222,6.111111111111111,5.777777777777778,7.277777777777778
29,0.0,0.3333333333333333,6.0,9.0,7.0,8.0,8.0,20.0,22.0,18.0,15.0,15.0,10.0,5.7,7.0,6.4,6.0,6.4,4.7,6.1
30,0.0,0.0,7.0,8.0,8.0,9.0,8.0,10.0,20.0,20.0,20.0,20.0,10.0,5.777777777777778,6.444444444444445,7.0,5.555555555555555,6.777777777777778,4.666666666666667,5.777777777777778
31,0.0,0.1,8.0,8.0,8.0,9.0,9.0,35.0,10.0,20.0,20.0,10.0,5.0,7.888888888888889,7.111111111111111,7.333333333333333,6.222222222222222,6.888888888888889,5.888888888888889,7.222222222222222
32,0.0,0.0,7.0,5.0,9.0,9.0,7.0,50.0,0.0,50.0,0.0,0.0,0.0,6.666666666666667,8.666666666666666,9.333333333333334,7.333333333333333,8.333333333333334,4.666666666666667,5.333333333333333
33,0.0,0.0,6.0,8.0,8.0,6.0,8.0,30.0,20.0,30.0,10.0,0.0,10.0,5.555555555555555,7.0,7.333333333333333,6.0,6.666666666666667,5.777777777777778,5.888888888888889
34,0.0,0.5,7.0,7.0,7.0,7.0,8.0,30.0,5.0,30.0,15.0,15.0,5.0,7.333333333333333,8.0,6.666666666666667,6.666666666666667,6.333333333333333,4.333333333333333,5.333333333333333
35,0.0,0.3,8.0,9.0,9.0,9.0,7.0,20.0,23.0,23.0,22.0,7.0,5.0,7.555555555555555,6.222222222222222,7.666666666666667,5.222222222222222,7.0,5.222222222222222,6.222222222222222
36,0.0,0.1,8.0,7.0,8.0,8.0,6.0,20.0,25.0,20.0,15.0,15.0,5.0,6.5,6.8,7.0,5.9,6.9,5.2,6.2
37,0.0,0.2,7.0,8.0,9.0,7.0,5.0,10.0,10.0,30.0,25.0,10.0,15.0,4.888888888888889,7.111111111111111,7.111111111111111,5.555555555555555,6.666666666666667,5.666666666666667,6.111111111111111
38,0.0,1.0,8.0,2.0,8.0,7.0,8.0,50.0,10.0,20.0,10.0,10.0,0.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
40,1.0,0.0,3.0,10.0,9.0,8.0,5.0,25.0,20.0,25.0,20.0,10.0,0.0,5.5,7.5,6.5,7.5,5.5,7.0,8.5
42,1.0,0.0,6.0,9.0,8.0,6.0,4.0,20.0,25.0,20.0,15.0,10.0,10.0,6.333333333333333,6.333333333333333,6.666666666666667,6.666666666666667,6.666666666666667,6.0,6.833333333333333
43,1.0,0.0,3.0,8.0,7.0,3.0,2.0,25.0,35.0,30.0,10.0,0.0,0.0,3.75,5.625,6.625,3.875,6.25,4.0,4.375
44,1.0,0.2222222222222222,7.0,9.0,9.0,8.0,9.0,25.0,15.0,25.0,25.0,15.0,15.0,5.0,6.333333333333333,6.555555555555555,4.666666666666667,6.444444444444445,4.0,5.111111111111111
45,1.0,0.2,7.0,8.0,8.0,6.0,7.0,25.0,15.0,25.0,15.0,0.0,20.0,5.0,5.888888888888889,6.666666666666667,3.4444444444444446,6.555555555555555,4.333333333333333,4.888888888888889
46,1.0,0.1,7.0,8.0,7.0,5.0,7.0,20.0,35.0,20.0,10.0,10.0,5.0,7.125,6.25,7.25,6.25,6.25,5.125,6.375
47,1.0,0.0,8.0,7.0,9.0,9.0,3.0,20.0,20.0,25.0,25.0,5.0,5.0,3.4444444444444446,5.444444444444445,6.333333333333333,5.555555555555555,6.444444444444445,4.555555555555555,5.222222222222222
48,1.0,0.0,7.0,9.0,7.0,6.0,6.0,30.0,15.0,25.0,25.0,5.0,0.0,7.0,6.333333333333333,6.111111111111111,7.0,5.888888888888889,5.888888888888889,6.444444444444445
49,1.0,0.25,7.0,10.0,10.0,10.0,8.0,20.0,20.0,20.0,20.0,5.0,15.0,7.25,8.0,8.25,8.0,7.25,6.75,7.75
51,1.0,0.1,6.0,8.0,10.0,2.0,2.0,25.0,10.0,35.0,15.0,0.0,15.0,6.0,5.444444444444445,6.555555555555555,4.333333333333333,6.444444444444445,5.333333333333333,5.333333333333333
52,1.0,0.1,5.0,8.0,8.0,6.0,7.0,15.0,20.0,15.0,30.0,5.0,15.0,4.111111111111111,6.777777777777778,7.333333333333333,5.444444444444445,6.111111111111111,5.666666666666667,6.0
53,1.0,0.1,8.0,9.0,8.0,8.0,8.0,40.0,15.0,20.0,10.0,5.0,10.0,7.375,7.5,7.5,6.125,7.25,5.5,6.9375
54,1.0,0.0,8.0,9.0,8.0,8.0,8.0,40.0,20.0,20.0,20.0,0.0,0.0,4.222222222222222,6.0,6.444444444444445,4.111111111111111,6.111111111111111,5.111111111111111,5.0
55,1.0,0.5,6.0,10.0,9.0,10.0,10.0,20.0,25.0,25.0,10.0,10.0,10.0,7.0,7.5,7.5,7.5,8.0,7.5,8.0
56,0.0,0.3333333333333333,10.0,10.0,8.0,9.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,7.8,7.8,7.2,7.0,7.4,5.2,6.8
57,0.0,0.16666666666666666,6.0,10.0,9.0,10.0,10.0,10.0,20.0,20.0,20.0,15.0,15.0,5.8,7.8,7.0,6.4,6.4,5.4,6.4
61,0.0,0.16666666666666666,7.0,10.0,10.0,7.0,7.0,15.0,15.0,20.0,15.0,15.0,20.0,4.333333333333333,7.666666666666667,8.166666666666666,5.5,6.333333333333333,4.5,5.666666666666667
