iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,group,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb
1,13.0,1.0,0.0,1.0,6.0,8.0,8.0,8.0,7.0,19.0,18.0,19.0,18.0,14.0,1.0,15.0,20.0,20.0,15.0,15.0
2,15.875,1.0,0.0,0.25,7.0,5.0,8.0,10.0,3.0,49.16625,6.38875,15.76375,17.63875,2.63875,1.0,45.0,5.0,25.0,20.0,0.0
3,15.875,1.0,0.0,0.0,8.0,9.0,9.0,8.0,8.0,49.16625,6.38875,15.76375,17.63875,2.63875,1.0,35.0,10.0,35.0,10.0,10.0
4,15.875,1.0,0.0,0.25,7.0,8.0,7.0,9.0,8.0,49.16625,6.38875,15.76375,17.63875,2.63875,1.0,20.0,20.0,20.0,20.0,10.0
5,15.875,1.0,0.0,0.25,6.0,3.0,10.0,6.0,8.0,49.16625,6.38875,15.76375,17.63875,2.63875,1.0,20.0,5.0,25.0,25.0,10.0
6,13.0,1.0,0.0,0.0,5.0,7.0,9.0,8.0,5.0,19.0,18.0,19.0,18.0,14.0,1.0,10.0,25.0,20.0,25.0,5.0
7,13.0,1.0,0.0,0.0,6.0,6.0,7.0,5.0,7.0,19.0,18.0,19.0,18.0,14.0,1.0,15.0,15.0,25.0,20.0,15.0
8,15.875,1.0,0.0,0.75,7.0,4.0,8.0,8.0,8.0,49.16625,6.38875,15.76375,17.63875,2.63875,1.0,9.09,18.18,27.27,18.18,18.18
10,15.875,1.0,0.0,0.125,6.0,8.0,6.0,10.0,9.0,49.16625,6.38875,15.76375,17.63875,2.63875,1.0,15.0,15.0,15.0,40.0,10.0
11,5.333333333333333,1.0,1.0,0.0,8.0,9.0,8.0,7.0,5.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,1.0,35.0,20.0,20.0,20.0,0.0
12,5.333333333333333,1.0,1.0,0.16666666666666666,9.0,9.0,10.0,9.0,9.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,1.0,60.0,0.0,0.0,40.0,0.0
13,4.666666666666667,1.0,1.0,0.3333333333333333,4.0,7.0,8.0,8.0,3.0,13.333333333333334,20.0,21.666666666666668,20.0,11.666666666666666,1.0,19.0,18.0,19.0,18.0,14.0
14,5.333333333333333,1.0,1.0,0.6666666666666666,9.0,9.0,9.0,9.0,9.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,1.0,30.0,5.0,15.0,40.0,5.0
16,5.333333333333333,1.0,1.0,0.16666666666666666,6.0,6.0,8.0,8.0,6.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,1.0,50.0,0.0,30.0,10.0,0.0
17,5.333333333333333,1.0,1.0,0.0,7.0,7.0,8.0,6.0,4.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,1.0,35.0,15.0,25.0,10.0,5.0
18,5.333333333333333,1.0,1.0,0.16666666666666666,6.0,8.0,8.0,6.0,9.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,1.0,33.33,11.11,11.11,11.11,11.11
19,5.333333333333333,1.0,1.0,0.8333333333333334,10.0,6.0,10.0,10.0,10.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,1.0,50.0,0.0,25.0,10.0,0.0
20,5.333333333333333,1.0,1.0,0.16666666666666666,7.0,7.0,10.0,10.0,10.0,24.015,12.196666666666667,24.545,22.19666666666667,9.696666666666667,1.0,100.0,0.0,0.0,0.0,0.0
21,43.0,2.0,0.0,0.0,5.0,9.0,9.0,7.0,10.0,23.75,21.25,18.75,21.25,6.25,1.0,12.0,18.0,20.0,16.0,16.0
22,52.5,2.0,0.0,0.0,7.0,8.0,8.0,7.0,7.0,27.5,17.5,22.5,12.5,10.0,1.0,20.0,20.0,20.0,10.0,10.0
23,43.0,2.0,0.0,0.0,5.0,8.0,7.0,6.0,8.0,23.75,21.25,18.75,21.25,6.25,1.0,10.0,20.0,40.0,10.0,10.0
24,48.3,2.0,0.0,0.0,7.0,9.0,8.0,9.0,8.0,26.5,20.0,24.0,18.5,4.5,1.0,10.0,20.0,20.0,15.0,20.0
25,48.3,2.0,0.0,0.0,7.0,9.0,8.0,7.0,6.0,26.5,20.0,24.0,18.5,4.5,1.0,20.0,20.0,15.0,15.0,15.0
26,48.3,2.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,26.5,20.0,24.0,18.5,4.5,1.0,20.0,20.0,20.0,15.0,15.0
29,48.3,2.0,0.0,0.2,6.0,9.0,7.0,8.0,8.0,26.5,20.0,24.0,18.5,4.5,1.0,20.0,22.0,18.0,15.0,15.0
30,48.3,2.0,0.0,0.0,7.0,8.0,8.0,9.0,8.0,26.5,20.0,24.0,18.5,4.5,1.0,10.0,20.0,20.0,20.0,20.0
31,48.3,2.0,0.0,0.1,8.0,8.0,8.0,9.0,9.0,26.5,20.0,24.0,18.5,4.5,1.0,35.0,10.0,20.0,20.0,10.0
32,43.0,2.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,23.75,21.25,18.75,21.25,6.25,1.0,50.0,0.0,50.0,0.0,0.0
33,48.3,2.0,0.0,0.0,6.0,8.0,8.0,6.0,8.0,26.5,20.0,24.0,18.5,4.5,1.0,30.0,20.0,30.0,10.0,0.0
34,43.0,2.0,0.0,0.25,7.0,7.0,7.0,7.0,8.0,23.75,21.25,18.75,21.25,6.25,1.0,30.0,5.0,30.0,15.0,15.0
35,48.3,2.0,0.0,0.3,8.0,9.0,9.0,9.0,7.0,26.5,20.0,24.0,18.5,4.5,1.0,20.0,23.0,23.0,22.0,7.0
36,48.3,2.0,0.0,0.1,8.0,7.0,8.0,8.0,6.0,26.5,20.0,24.0,18.5,4.5,1.0,20.0,25.0,20.0,15.0,15.0
37,48.3,2.0,0.0,0.2,7.0,8.0,9.0,7.0,5.0,26.5,20.0,24.0,18.5,4.5,1.0,10.0,10.0,30.0,25.0,10.0
38,52.5,2.0,0.0,1.0,8.0,2.0,8.0,7.0,8.0,27.5,17.5,22.5,12.5,10.0,1.0,50.0,10.0,20.0,10.0,10.0
40,27.5,2.0,1.0,0.0,3.0,10.0,9.0,8.0,5.0,25.5,10.75,35.0,10.25,10.25,1.0,25.0,20.0,25.0,20.0,10.0
41,27.5,2.0,1.0,0.0,5.0,7.0,8.0,5.0,5.0,25.5,10.75,35.0,10.25,10.25,1.0,30.0,20.0,10.0,30.0,0.0
42,27.5,2.0,1.0,0.0,6.0,9.0,8.0,6.0,4.0,25.5,10.75,35.0,10.25,10.25,1.0,20.0,25.0,20.0,15.0,10.0
43,30.6,2.0,1.0,0.0,3.0,8.0,7.0,3.0,2.0,19.5,19.0,21.6,17.2,12.7,1.0,25.0,35.0,30.0,10.0,0.0
44,30.6,2.0,1.0,0.2,7.0,9.0,9.0,8.0,9.0,19.5,19.0,21.6,17.2,12.7,1.0,25.0,15.0,25.0,25.0,15.0
45,30.6,2.0,1.0,0.2,7.0,8.0,8.0,6.0,7.0,19.5,19.0,21.6,17.2,12.7,1.0,25.0,15.0,25.0,15.0,0.0
46,30.6,2.0,1.0,0.1,7.0,8.0,7.0,5.0,7.0,19.5,19.0,21.6,17.2,12.7,1.0,20.0,35.0,20.0,10.0,10.0
47,30.6,2.0,1.0,0.0,8.0,7.0,9.0,9.0,3.0,19.5,19.0,21.6,17.2,12.7,1.0,20.0,20.0,25.0,25.0,5.0
48,30.6,2.0,1.0,0.1,7.0,9.0,7.0,6.0,6.0,19.5,19.0,21.6,17.2,12.7,1.0,30.0,15.0,25.0,25.0,5.0
49,27.5,2.0,1.0,0.25,7.0,10.0,10.0,10.0,8.0,25.5,10.75,35.0,10.25,10.25,1.0,20.0,20.0,20.0,20.0,5.0
50,30.0,2.0,1.0,0.5,8.0,9.0,10.0,9.0,8.0,35.0,15.0,20.0,10.0,10.0,1.0,35.0,10.0,20.0,15.0,10.0
51,30.6,2.0,1.0,0.1,6.0,8.0,10.0,2.0,2.0,19.5,19.0,21.6,17.2,12.7,1.0,25.0,10.0,35.0,15.0,0.0
52,30.6,2.0,1.0,0.1,5.0,8.0,8.0,6.0,7.0,19.5,19.0,21.6,17.2,12.7,1.0,15.0,20.0,15.0,30.0,5.0
53,30.6,2.0,1.0,0.1,8.0,9.0,8.0,8.0,8.0,19.5,19.0,21.6,17.2,12.7,1.0,40.0,15.0,20.0,10.0,5.0
54,30.6,2.0,1.0,0.0,8.0,9.0,8.0,8.0,8.0,19.5,19.0,21.6,17.2,12.7,1.0,40.0,20.0,20.0,20.0,0.0
55,30.0,2.0,1.0,0.5,6.0,10.0,9.0,10.0,10.0,35.0,15.0,20.0,10.0,10.0,1.0,20.0,25.0,25.0,10.0,10.0
56,71.5,3.0,0.0,0.3333333333333333,10.0,10.0,8.0,9.0,5.0,36.0,10.833333333333334,19.833333333333332,20.833333333333332,5.833333333333333,1.0,17.0,18.0,18.0,15.0,17.0
57,71.5,3.0,0.0,0.16666666666666666,6.0,10.0,9.0,10.0,10.0,36.0,10.833333333333334,19.833333333333332,20.833333333333332,5.833333333333333,1.0,10.0,20.0,20.0,20.0,15.0
60,71.0,3.0,0.0,0.0,7.0,9.0,9.0,9.0,9.0,20.0,17.5,20.0,20.0,7.5,1.0,5.0,20.0,25.0,15.0,15.0
61,71.5,3.0,0.0,0.16666666666666666,7.0,10.0,10.0,7.0,7.0,36.0,10.833333333333334,19.833333333333332,20.833333333333332,5.833333333333333,1.0,15.0,15.0,20.0,15.0,15.0
