,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,group
2,1,13.0,1,0,1,6.0,8.0,8.0,8.0,7.0,19.0,18.0,19.0,18.0,14.0,1
10,2,11.0,1,0,0,7.0,5.0,8.0,10.0,3.0,35.0,20.0,20.0,20.0,0.0,1
11,2,12.0,1,0,0,7.0,5.0,8.0,10.0,3.0,60.0,0.0,0.0,40.0,0.0,1
13,2,14.0,1,0,1,7.0,5.0,8.0,10.0,3.0,30.0,5.0,15.0,40.0,5.0,1
15,2,16.0,1,0,0,7.0,5.0,8.0,10.0,3.0,50.0,0.0,30.0,10.0,0.0,1
16,2,17.0,1,0,0,7.0,5.0,8.0,10.0,3.0,35.0,15.0,25.0,10.0,5.0,1
17,2,18.0,1,0,0,7.0,5.0,8.0,10.0,3.0,33.33,11.11,11.11,11.11,11.11,1
18,2,19.0,1,0,1,7.0,5.0,8.0,10.0,3.0,50.0,0.0,25.0,10.0,0.0,1
19,2,20.0,1,0,0,7.0,5.0,8.0,10.0,3.0,100.0,0.0,0.0,0.0,0.0,1
20,3,11.0,1,0,0,8.0,9.0,9.0,8.0,8.0,35.0,20.0,20.0,20.0,0.0,1
21,3,12.0,1,0,0,8.0,9.0,9.0,8.0,8.0,60.0,0.0,0.0,40.0,0.0,1
23,3,14.0,1,0,0,8.0,9.0,9.0,8.0,8.0,30.0,5.0,15.0,40.0,5.0,1
25,3,16.0,1,0,0,8.0,9.0,9.0,8.0,8.0,50.0,0.0,30.0,10.0,0.0,1
26,3,17.0,1,0,0,8.0,9.0,9.0,8.0,8.0,35.0,15.0,25.0,10.0,5.0,1
27,3,18.0,1,0,0,8.0,9.0,9.0,8.0,8.0,33.33,11.11,11.11,11.11,11.11,1
28,3,19.0,1,0,0,8.0,9.0,9.0,8.0,8.0,50.0,0.0,25.0,10.0,0.0,1
29,3,20.0,1,0,0,8.0,9.0,9.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,1
30,4,11.0,1,0,0,7.0,8.0,7.0,9.0,8.0,35.0,20.0,20.0,20.0,0.0,1
31,4,12.0,1,0,0,7.0,8.0,7.0,9.0,8.0,60.0,0.0,0.0,40.0,0.0,1
33,4,14.0,1,0,1,7.0,8.0,7.0,9.0,8.0,30.0,5.0,15.0,40.0,5.0,1
35,4,16.0,1,0,0,7.0,8.0,7.0,9.0,8.0,50.0,0.0,30.0,10.0,0.0,1
36,4,17.0,1,0,0,7.0,8.0,7.0,9.0,8.0,35.0,15.0,25.0,10.0,5.0,1
37,4,18.0,1,0,0,7.0,8.0,7.0,9.0,8.0,33.33,11.11,11.11,11.11,11.11,1
38,4,19.0,1,0,1,7.0,8.0,7.0,9.0,8.0,50.0,0.0,25.0,10.0,0.0,1
39,4,20.0,1,0,0,7.0,8.0,7.0,9.0,8.0,100.0,0.0,0.0,0.0,0.0,1
40,5,11.0,1,0,0,6.0,3.0,10.0,6.0,8.0,35.0,20.0,20.0,20.0,0.0,1
41,5,12.0,1,0,0,6.0,3.0,10.0,6.0,8.0,60.0,0.0,0.0,40.0,0.0,1
43,5,14.0,1,0,1,6.0,3.0,10.0,6.0,8.0,30.0,5.0,15.0,40.0,5.0,1
45,5,16.0,1,0,0,6.0,3.0,10.0,6.0,8.0,50.0,0.0,30.0,10.0,0.0,1
46,5,17.0,1,0,0,6.0,3.0,10.0,6.0,8.0,35.0,15.0,25.0,10.0,5.0,1
47,5,18.0,1,0,0,6.0,3.0,10.0,6.0,8.0,33.33,11.11,11.11,11.11,11.11,1
48,5,19.0,1,0,1,6.0,3.0,10.0,6.0,8.0,50.0,0.0,25.0,10.0,0.0,1
49,5,20.0,1,0,0,6.0,3.0,10.0,6.0,8.0,100.0,0.0,0.0,0.0,0.0,1
52,6,13.0,1,0,0,5.0,7.0,9.0,8.0,5.0,19.0,18.0,19.0,18.0,14.0,1
62,7,13.0,1,0,0,6.0,6.0,7.0,5.0,7.0,19.0,18.0,19.0,18.0,14.0,1
70,8,11.0,1,0,0,7.0,4.0,8.0,8.0,8.0,35.0,20.0,20.0,20.0,0.0,1
71,8,12.0,1,0,1,7.0,4.0,8.0,8.0,8.0,60.0,0.0,0.0,40.0,0.0,1
73,8,14.0,1,0,1,7.0,4.0,8.0,8.0,8.0,30.0,5.0,15.0,40.0,5.0,1
75,8,16.0,1,0,1,7.0,4.0,8.0,8.0,8.0,50.0,0.0,30.0,10.0,0.0,1
76,8,17.0,1,0,0,7.0,4.0,8.0,8.0,8.0,35.0,15.0,25.0,10.0,5.0,1
77,8,18.0,1,0,1,7.0,4.0,8.0,8.0,8.0,33.33,11.11,11.11,11.11,11.11,1
78,8,19.0,1,0,1,7.0,4.0,8.0,8.0,8.0,50.0,0.0,25.0,10.0,0.0,1
79,8,20.0,1,0,1,7.0,4.0,8.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,1
90,10,11.0,1,0,0,6.0,8.0,6.0,10.0,9.0,35.0,20.0,20.0,20.0,0.0,1
91,10,12.0,1,0,0,6.0,8.0,6.0,10.0,9.0,60.0,0.0,0.0,40.0,0.0,1
93,10,14.0,1,0,0,6.0,8.0,6.0,10.0,9.0,30.0,5.0,15.0,40.0,5.0,1
95,10,16.0,1,0,0,6.0,8.0,6.0,10.0,9.0,50.0,0.0,30.0,10.0,0.0,1
96,10,17.0,1,0,0,6.0,8.0,6.0,10.0,9.0,35.0,15.0,25.0,10.0,5.0,1
97,10,18.0,1,0,0,6.0,8.0,6.0,10.0,9.0,33.33,11.11,11.11,11.11,11.11,1
98,10,19.0,1,0,1,6.0,8.0,6.0,10.0,9.0,50.0,0.0,25.0,10.0,0.0,1
99,10,20.0,1,0,0,6.0,8.0,6.0,10.0,9.0,100.0,0.0,0.0,0.0,0.0,1
101,11,2.0,1,1,0,8.0,9.0,8.0,7.0,5.0,45.0,5.0,25.0,20.0,0.0,1
