iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha,tmp2_attr,tmp2_sinc,tmp2_intel,tmp2_fun,tmp2_amb,tmp2_shar,tmp2_like
379,0.0,0.08333333333333333,6.0,9.0,8.0,6.0,9.0,15.0,15.0,20.0,15.0,15.0,20.0,6.444444444444445,6.888888888888889,7.777777777777778,7.0,7.888888888888889,6.777777777777778,6.222222222222222
380,0.0,0.0,4.0,7.0,9.0,9.0,9.0,20.0,20.0,20.0,15.0,15.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,7.0
381,0.0,0.08333333333333333,7.0,7.0,9.0,10.0,8.0,20.0,10.0,20.0,35.0,5.0,10.0,6.5,6.5,6.625,6.375,6.625,5.875,5.25
382,0.0,0.07692307692307693,7.0,7.0,7.0,7.0,10.0,25.0,25.0,25.0,10.0,10.0,5.0,6.181818181818182,6.818181818181818,7.090909090909091,5.545454545454546,6.363636363636363,5.7272727272727275,6.090909090909091
384,0.0,0.38461538461538464,8.0,8.0,8.0,9.0,9.0,20.0,20.0,20.0,20.0,20.0,0.0,6.9,7.1,6.8,7.6,6.5,6.7,6.8
385,0.0,0.2857142857142857,8.0,8.0,8.0,6.0,6.0,25.0,20.0,20.0,20.0,10.0,5.0,7.3,8.2,6.8,7.1,6.1,6.4,6.9
386,0.0,0.0,7.0,8.0,9.0,9.0,9.0,15.0,10.0,30.0,10.0,15.0,20.0,5.666666666666667,8.11111111111111,7.333333333333333,6.555555555555555,6.222222222222222,5.777777777777778,6.333333333333333
387,0.0,0.38461538461538464,8.0,8.0,8.0,8.0,8.0,20.0,15.0,25.0,15.0,15.0,10.0,7.944444444444445,7.333333333333333,7.0,7.611111111111111,6.111111111111111,6.0,6.777777777777778
388,0.0,0.08333333333333333,8.0,8.0,8.0,7.0,8.0,22.0,17.0,15.0,15.0,15.0,16.0,7.0,5.875,5.875,6.25,6.5,5.0,5.75
389,0.0,0.5,8.0,10.0,7.0,9.0,5.0,20.0,30.0,20.0,20.0,0.0,10.0,7.5,6.833333333333333,7.416666666666667,7.291666666666667,7.041666666666667,5.166666666666667,7.166666666666667
391,0.0,0.07692307692307693,8.0,9.0,9.0,9.0,7.0,35.0,0.0,35.0,10.0,10.0,10.0,6.875,7.25,7.25,6.625,6.625,7.125,6.25
392,0.0,0.07692307692307693,4.0,7.0,8.0,7.0,7.0,15.0,20.0,15.0,30.0,10.0,10.0,5.9,7.6,7.0,6.5,6.6,6.2,6.3
393,0.0,0.16666666666666666,7.0,9.0,8.0,8.0,8.0,8.0,20.0,25.0,25.0,12.0,10.0,5.25,8.125,7.375,6.125,6.25,5.125,5.75
394,0.0,0.08333333333333333,9.0,8.0,7.0,7.0,7.0,18.0,19.0,16.0,15.0,15.0,17.0,5.777777777777778,7.888888888888889,7.222222222222222,6.111111111111111,6.111111111111111,5.666666666666667,5.555555555555555
395,0.0,0.0,8.0,8.0,9.0,7.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,6.9,7.5,6.5,6.8,5.5,5.45
396,0.0,0.0,8.0,10.0,10.0,10.0,8.0,15.0,18.0,18.0,18.0,15.0,16.0,5.5,6.5,5.5,5.5,5.5,5.0,5.0
397,1.0,0.14285714285714285,7.0,7.0,10.0,7.0,9.0,20.0,21.0,21.0,22.0,6.0,10.0,5.363636363636363,7.363636363636363,7.090909090909091,5.363636363636363,7.181818181818182,5.363636363636363,5.454545454545454
399,1.0,0.0,9.0,9.0,9.0,9.0,9.0,25.0,10.0,20.0,20.0,10.0,15.0,6.75,6.75,7.375,6.25,7.625,6.0,6.0
400,1.0,0.5,7.0,10.0,8.0,6.0,7.0,70.0,5.0,20.0,3.0,1.0,1.0,7.1,7.6,8.0,7.1,8.3,7.1,7.05
401,1.0,1.0,8.0,5.0,10.0,7.0,5.0,35.0,0.0,25.0,20.0,0.0,20.0,6.583333333333333,8.416666666666666,8.416666666666666,6.0,8.083333333333334,5.833333333333333,6.25
402,1.0,0.0,6.0,8.0,10.0,7.0,9.0,25.0,20.0,15.0,25.0,10.0,5.0,6.0,9.0,9.0,6.0,9.0,2.0,3.0
403,1.0,0.0,4.0,8.0,9.0,7.0,9.0,20.0,25.0,20.0,15.0,5.0,15.0,4.9,8.0,7.6,6.2,7.1,4.7,5.2
404,1.0,1.0,6.0,9.0,8.0,7.0,8.0,25.0,14.0,25.0,25.0,3.0,8.0,8.090909090909092,7.818181818181818,7.363636363636363,6.909090909090909,7.181818181818182,5.909090909090909,6.545454545454546
405,1.0,0.0,8.0,8.0,9.0,10.0,10.0,30.0,25.0,20.0,15.0,5.0,5.0,5.0,6.0,7.0,6.0,8.0,5.0,5.0
406,1.0,0.0,6.0,7.0,8.0,8.0,9.0,20.0,20.0,20.0,20.0,20.0,0.0,5.0,8.0,8.0,6.0,8.0,6.0,5.0
407,1.0,0.14285714285714285,7.0,9.0,7.0,8.0,8.0,30.0,15.0,15.0,15.0,15.0,10.0,7.384615384615385,9.153846153846153,8.23076923076923,7.230769230769231,7.6923076923076925,7.6923076923076925,7.384615384615385
409,1.0,0.2857142857142857,7.0,9.0,9.0,8.0,8.0,20.0,15.0,20.0,20.0,10.0,15.0,7.0,8.181818181818182,8.272727272727273,7.363636363636363,7.363636363636363,6.7272727272727275,6.818181818181818
410,1.0,0.21428571428571427,7.0,10.0,10.0,6.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.636363636363637,8.363636363636363,8.272727272727273,7.7272727272727275,7.454545454545454,7.0,7.0
411,1.0,0.07142857142857142,8.0,6.0,7.0,9.0,5.0,35.0,15.0,15.0,25.0,10.0,0.0,7.318181818181818,8.181818181818182,8.181818181818182,7.909090909090909,8.181818181818182,6.818181818181818,6.454545454545454
412,1.0,0.21428571428571427,7.0,7.0,8.0,8.0,8.0,75.0,5.0,5.0,5.0,5.0,5.0,5.333333333333333,7.111111111111111,7.333333333333333,6.777777777777778,7.666666666666667,5.777777777777778,5.777777777777778
