,id,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr,sinc,intel,fun,amb,shar,like,condtn,round,int_corr,age_o,age,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,group
2409,1.0,174,185.0,8,0,0,9.0,10.0,8.0,8.0,6.0,16.98,15.09,16.98,16.98,18.87,15.09,5.0,5.0,5.0,5.0,5.0,6.0,5.0,1,10,0.48,25.0,29.0,9.52,23.81,16.67,16.67,16.67,16.67,8.0,8.0,6.0,8.0,5.0,8.0,17.07,17.07,14.63,19.51,12.2,19.51,7.0,8.0,8.0,8.0,8.0,2
2410,1.0,174,186.0,8,0,0,9.0,10.0,8.0,8.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11,5.0,5.0,6.0,6.0,6.0,6.0,6.0,1,10,0.35,24.0,29.0,9.52,23.81,16.67,16.67,16.67,16.67,8.0,8.0,6.0,8.0,5.0,8.0,17.07,17.07,14.63,19.51,12.2,19.51,7.0,8.0,8.0,8.0,8.0,2
2417,1.0,174,193.0,8,0,0,9.0,10.0,8.0,8.0,6.0,20.93,16.28,23.26,16.28,11.63,11.63,6.0,5.0,6.0,7.0,7.0,7.0,7.0,1,10,0.37,25.0,29.0,9.52,23.81,16.67,16.67,16.67,16.67,8.0,8.0,6.0,8.0,5.0,8.0,17.07,17.07,14.63,19.51,12.2,19.51,7.0,8.0,8.0,8.0,8.0,2
2423,2.0,175,189.0,8,0,0,7.0,10.0,8.0,8.0,9.0,16.98,16.98,16.98,16.98,16.98,15.09,4.0,7.0,7.0,6.0,6.0,7.0,7.0,1,10,0.1,27.0,23.0,12.24,20.41,16.33,14.29,20.41,16.33,10.0,5.0,6.0,7.0,8.0,6.0,22.22,11.11,13.33,20.0,17.78,15.56,7.0,8.0,8.0,8.0,8.0,2
2429,3.0,176,185.0,8,0,0,6.0,9.0,8.0,7.0,6.0,16.98,15.09,16.98,16.98,18.87,15.09,6.0,5.0,6.0,6.0,7.0,4.0,6.0,1,10,0.16,25.0,28.0,13.04,21.74,19.57,17.39,15.22,13.04,8.0,9.0,8.0,8.0,7.0,6.0,18.75,18.75,16.67,18.75,12.5,14.58,7.0,8.0,8.0,8.0,8.0,2
2430,3.0,176,186.0,8,0,1,6.0,9.0,8.0,7.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11,7.0,8.0,7.0,6.0,5.0,6.0,7.0,1,10,0.5,24.0,28.0,13.04,21.74,19.57,17.39,15.22,13.04,8.0,9.0,8.0,8.0,7.0,6.0,18.75,18.75,16.67,18.75,12.5,14.58,7.0,8.0,8.0,8.0,8.0,2
2437,3.0,176,193.0,8,0,0,6.0,9.0,8.0,7.0,6.0,20.93,16.28,23.26,16.28,11.63,11.63,7.0,8.0,8.0,6.0,7.0,6.0,7.0,1,10,0.4,25.0,28.0,13.04,21.74,19.57,17.39,15.22,13.04,8.0,9.0,8.0,8.0,7.0,6.0,18.75,18.75,16.67,18.75,12.5,14.58,7.0,8.0,8.0,8.0,8.0,2
2438,4.0,177,184.0,8,0,0,9.0,9.0,9.0,8.0,9.0,16.67,16.67,16.67,16.67,16.67,16.67,5.0,7.0,7.0,5.0,6.0,5.0,6.0,1,10,0.07,34.0,22.0,15.09,16.98,16.98,16.98,18.87,15.09,10.0,7.0,5.0,6.0,6.0,6.0,25.0,15.0,15.0,17.5,12.5,15.0,7.0,8.0,8.0,8.0,8.0,2
2441,4.0,177,187.0,8,0,0,9.0,9.0,9.0,8.0,9.0,16.98,16.98,18.87,16.98,13.21,16.98,4.0,6.0,7.0,5.0,7.0,4.0,4.0,1,10,0.14,26.0,22.0,15.09,16.98,16.98,16.98,18.87,15.09,10.0,7.0,5.0,6.0,6.0,6.0,25.0,15.0,15.0,17.5,12.5,15.0,7.0,8.0,8.0,8.0,8.0,2
2442,4.0,177,188.0,8,0,0,9.0,9.0,9.0,8.0,9.0,15.56,11.11,22.22,15.56,20.0,15.56,1.0,6.0,6.0,3.0,4.0,2.0,3.0,1,10,-0.13,21.0,22.0,15.09,16.98,16.98,16.98,18.87,15.09,10.0,7.0,5.0,6.0,6.0,6.0,25.0,15.0,15.0,17.5,12.5,15.0,7.0,8.0,8.0,8.0,8.0,2
